sel,mean(delay) [ns]
0,1.085546770898108
1,1.085739671257219
2,1.0856432125088842
3,1.0859326401848395
4,1.0856432125088842
5,1.0856432125088842
6,1.085739671257219
7,1.0856432125088842
8,1.0856432125088842
9,1.0856432125088842
10,1.085546770898108
11,1.085546770898108
12,1.085546770898108
13,1.0852575488454705
14,1.0853539390709654
15,1.0851611757392772
16,1.0849684808665543
17,1.0851611757392772
18,1.0849684808665543
19,1.0848721590909092
20,1.0850648197478245
21,1.0849684808665543
22,1.0848721590909092
23,1.0849684808665543
24,1.0849684808665543
25,1.0847758544163337
26,1.0848721590909092
27,1.0849684808665543
28,1.0850648197478245
29,1.0848721590909092
30,1.0849203199787318
31,1.0849684808665543
