sel,mean(delay) [ns]
808,2.9717031102912648
404,2.9718444575626823
202,2.9718787859352607
101,2.972061203786227
41010,2.971583470855338
20505,2.9717934505741317
34828,2.9720882902331325
50182,2.9718930397525445
57859,2.971971658093355
20737,2.971872008750391
2176,2.9718745284645056
1088,2.9719917689496387
33312,2.972115250215669
16656,2.9718794765686876
41096,2.9719465357252886
20548,2.971684012776502
10274,2.972023225867092
5137,2.971790974779714
43528,2.9720476577912653
21764,2.972159119815893
10882,2.972223380667455
38209,2.972192168392935
27296,2.9722528413507536
13648,2.9718922657169298
6824,2.9717707378189115
36180,2.9720545237187523
50858,2.9720185942265647
25429,2.972097466635051
37290,2.972115248297759
18645,2.9719392244971035
33898,2.972121878612202
49717,2.972176212687803
16666,2.9725706248160084
41101,2.97280264107931
28742,2.9723315800134174
47139,2.9722167037747207
31761,2.9721858845360853
7688,2.9719936126868878
36612,2.9724015205472822
51074,2.972189621796732
25537,2.972466848616446
4576,2.9725139923126975
2288,2.9726424407964536
1144,2.9724335997456595
33340,2.9723947668419872
49438,2.97253745829961
24719,2.972459960179141
36935,2.9724068760248885
59427,2.97250724650992
54289,2.9723812638966645
18952,2.9724136150680494
9476,2.972311243067336
4738,2.97243287145021
2369,2.9727378403936795
9376,2.972353241028083
4688,2.972090733130778
2344,2.9723044418171884
33940,2.9727303778134018
49738,2.9723600062439517
24869,2.9724193334108846
37010,2.97226742378909
18505,2.9725072693523162
33828,2.972595075542932
49682,2.9726221905820367
57609,2.972784497712885
20612,2.973002916631348
43074,2.9730234510220326
21537,2.9730006933271405
2576,2.9731569504424207
34056,2.9732112074590025
17028,2.973048251200975
41282,2.9731586741930727
53409,2.973036373839643
51280,2.9726897268190986
25640,2.9725413003598273
12820,2.9730096002306863
39178,2.9731563073272174
52357,2.972976178190468
50754,2.972419480102999
25377,2.972507258392154
37264,2.9727302822704473
51400,2.97245991534457
58468,2.97257426618599
62002,2.972124471053115
63769,2.972520756323837
56460,2.9724525356970104
28230,2.972540993388379
14115,2.9722504121124897
15249,2.9722050891815464
15816,2.972105609770068
7908,2.9724396243075253
36722,2.972013995921283
18361,2.972277445474855
988,2.972232748995085
494,2.9723609880996973
247,2.971993617018012
8315,2.9724202388582035
12349,2.972333108664764
47134,2.972351808248713
56335,2.9720096180119753
52743,2.9723332464357326
50947,2.972210082682926
17281,2.9721424137489225
448,2.972284177530201
224,2.972145723241783
112,2.972266572679011
56,2.972284288468058
32796,2.9724739152032416
16398,2.9726697139824374
8199,2.9722646467181817
45059,2.972023104522718
63489,2.972266253182332
56320,2.9723653189645476
60928,2.9721025350436974
30464,2.971864635880453
15232,2.972095063789352
40384,2.9724556230559482
20192,2.9727979308022223
10096,2.972447010396735
5048,2.9724879763713337
2524,2.972432848616282
1262,2.9724871913836544
631,2.9722325969997767
41275,2.9723179780916316
61597,2.9723046427224986
55374,2.9723867730458204
60455,2.972818176382132
54803,2.9730707931164497
51977,2.9730706907025395
17796,2.973379400034964
41666,2.9728993444564114
20833,2.9727099948236533
34992,2.972615494549513
50264,2.9727597906986216
25132,2.97270330679242
45334,2.972661294124212
55435,2.9727032366330155
52293,2.972534218287806
50722,2.972482658991131
25361,2.9724738655824514
4488,2.9723922659292787
