sel,mean(delay) [ns]
808,2.2892406584613987
404,2.28913995139181
202,2.2893514460691247
101,2.28926094067306
41010,2.289497515942313
20505,2.289351428839645
34828,2.2895453608042633
50182,2.2891870610416776
57859,2.2891337941904464
20737,2.2891149026944486
2176,2.2895078058731024
1088,2.289517412690514
33312,2.289693725730672
16656,2.289130923725716
41096,2.2894157114466176
20548,2.289354414714271
10274,2.2891469704533915
5137,2.289128428498666
43528,2.2893902279748906
21764,2.2895562420537328
10882,2.289604018491747
38209,2.2893915621665344
27296,2.2893247563434875
13648,2.288956043661831
6824,2.2892872712527166
36180,2.289596763978369
50858,2.2893915209555047
25429,2.2891148845193294
37290,2.2893408963802875
18645,2.2894180209072577
33898,2.2895599269138276
49717,2.2894235956596343
16666,2.2892988491547794
41101,2.289391509336176
28742,2.2894491059493807
47139,2.2893394003567487
31761,2.2892050897855034
7688,2.2894957466111414
36612,2.2898326295565505
51074,2.289284868424829
25537,2.2893345591694434
4576,2.289145206929692
2288,2.28930347300488
1144,2.2890804153827795
33340,2.28934340078601
49438,2.2893585139510466
24719,2.289589455401447
36935,2.289783511656604
59427,2.2895100868380514
54289,2.28907085643551
18952,2.28906052966131
9476,2.2890363318772016
4738,2.2893875366491945
2369,2.2894838182831654
9376,2.2894458924279983
4688,2.289243298735677
2344,2.289272744091287
33940,2.2895333562256517
49738,2.2894997858757287
24869,2.289401090106573
37010,2.2897608909492213
18505,2.2897517222976385
33828,2.289834093208545
49682,2.289864728049176
57609,2.2893703300471233
20612,2.289275269805701
43074,2.2895158204244037
21537,2.2893184383876535
2576,2.2894895394227652
34056,2.289780505918578
17028,2.289551986126199
41282,2.2896802266845446
53409,2.289612046163056
51280,2.2896696709051283
25640,2.289656169298899
12820,2.2897294217043664
39178,2.289864729420763
52357,2.289684253538479
50754,2.289729849960884
25377,2.2897715560427367
37264,2.2893076709618927
51400,2.2895522746602235
58468,2.2895371604385413
62002,2.2893835039537533
63769,2.289104379921899
56460,2.2892351861535998
28230,2.289350475285813
14115,2.2892352647495695
15249,2.289475795054821
15816,2.289382255455688
7908,2.2894426030353383
36722,2.2894999066798767
18361,2.2893754414471617
988,2.289608802071342
494,2.2897002843813614
247,2.289838107592324
8315,2.2896960897511476
12349,2.2893634674679006
47134,2.289463696932605
56335,2.2897885362182766
52743,2.2896722373138334
