sel,mean(delay) [ns]
0,1.2380952380952381
1,1.2380952380952381
2,1.2380952380952381
3,1.2382206910527915
4,1.2383461694365625
5,1.2383461694365625
6,1.238471673254282
7,1.238471673254282
8,1.2383461694365625
9,1.2382206910527915
10,1.2382206910527915
11,1.2383461694365625
12,1.2383461694365625
13,1.238471673254282
14,1.2382206910527915
15,1.2383461694365625
16,1.238471673254282
17,1.2382206910527915
18,1.2382206910527915
19,1.2382206910527915
20,1.2383461694365625
21,1.2383461694365625
22,1.2383461694365625
23,1.2382206910527915
24,1.2382206910527915
25,1.2382206910527915
26,1.2383461694365625
27,1.238471673254282
28,1.2382206910527915
29,1.2383461694365625
30,1.2385972025136833
31,1.2388483373884833
