sel,mean(delay) [ns]
0,1.142056074766355
1,1.142056074766355
2,1.142056074766355
3,1.142056074766355
4,1.142056074766355
5,1.141949350527988
6,1.141949350527988
7,1.1418426462343487
8,1.1418426462343487
9,1.141949350527988
10,1.141949350527988
11,1.142056074766355
12,1.141949350527988
13,1.141949350527988
14,1.1418426462343487
15,1.141949350527988
16,1.141949350527988
17,1.141949350527988
18,1.142056074766355
19,1.1418426462343487
20,1.141629297458894
21,1.1415226529659037
22,1.141629297458894
23,1.1417359618798466
24,1.1417359618798466
25,1.141629297458894
26,1.1418426462343487
27,1.1418426462343487
28,1.1417359618798466
29,1.1417359618798466
30,1.1418426462343487
31,1.141949350527988
