sel,mean(delay) [ns]
0,1.1266826479808225
1,1.1266826479808225
2,1.1268904463297675
3,1.1269943742506687
4,1.1268904463297675
5,1.1268904463297675
6,1.1268904463297675
7,1.1270983213429255
8,1.1269943742506687
9,1.1268904463297675
10,1.1269943742506687
11,1.1269943742506687
12,1.1269943742506687
13,1.1269424102902181
14,1.1268904463297675
15,1.1267865375749193
16,1.1269943742506687
17,1.1269943742506687
18,1.1269943742506687
19,1.1268904463297675
20,1.1268904463297675
21,1.1268904463297675
22,1.1267865375749193
23,1.1268904463297675
24,1.1265787775421776
25,1.1266826479808225
26,1.1267865375749193
27,1.1269943742506687
28,1.1269943742506687
29,1.1268904463297675
30,1.1270983213429255
31,1.1268904463297675
