sel,mean(delay) [ns]
0,2.106896551724138
1,2.106896551724138
2,2.1072598723917917
3,2.1072598723917917
4,2.106896551724138
5,2.106896551724138
6,2.106896551724138
7,2.106896551724138
8,2.106896551724138
9,2.106896551724138
10,2.1065333563178763
11,2.1072598723917917
12,2.1072598723917917
13,2.106896551724138
14,2.1065333563178763
15,2.1065333563178763
16,2.1061702861082385
17,2.1065333563178763
18,2.106896551724138
19,2.106896551724138
20,2.1065333563178763
21,2.1065333563178763
22,2.1065333563178763
23,2.106896551724138
24,2.1065333563178763
25,2.1065333563178763
26,2.1065333563178763
27,2.106896551724138
28,2.1065333563178763
29,2.1065333563178763
30,2.106896551724138
31,2.106896551724138
32,2.106896551724138
33,2.1065333563178763
34,2.1065333563178763
35,2.106896551724138
36,2.1065333563178763
37,2.106896551724138
38,2.106896551724138
39,2.106896551724138
40,2.1065333563178763
41,2.1061702861082385
42,2.1061702861082385
43,2.1061702861082385
44,2.1065333563178763
45,2.106896551724138
46,2.106896551724138
47,2.1072598723917917
48,2.106896551724138
49,2.1065333563178763
50,2.1058073410305016
51,2.1061702861082385
52,2.1058073410305016
53,2.1058073410305016
54,2.1061702861082385
55,2.106896551724138
56,2.1065333563178763
57,2.1061702861082385
58,2.1061702861082385
59,2.106896551724138
60,2.1065333563178763
61,2.1065333563178763
62,2.1065333563178763
63,2.1065333563178763
64,2.106896551724138
65,2.1065333563178763
66,2.1065333563178763
67,2.1065333563178763
68,2.1065333563178763
69,2.1065333563178763
70,2.1065333563178763
71,2.106896551724138
72,2.106896551724138
73,2.106896551724138
74,2.1065333563178763
75,2.1065333563178763
76,2.106896551724138
77,2.106896551724138
78,2.106896551724138
79,2.1065333563178763
80,2.106896551724138
81,2.1065333563178763
82,2.1061702861082385
83,2.1061702861082385
84,2.1058073410305016
85,2.1058073410305016
86,2.1061702861082385
87,2.1065333563178763
88,2.1065333563178763
89,2.1061702861082385
90,2.1065333563178763
91,2.106896551724138
92,2.1065333563178763
93,2.1065333563178763
94,2.106896551724138
95,2.106896551724138
96,2.106896551724138
97,2.106896551724138
98,2.1065333563178763
99,2.1065333563178763
100,2.106896551724138
101,2.106896551724138
102,2.1061702861082385
103,2.1065333563178763
104,2.1061702861082385
105,2.1061702861082385
106,2.1061702861082385
107,2.1065333563178763
108,2.1061702861082385
109,2.1061702861082385
110,2.1065333563178763
111,2.106896551724138
112,2.106896551724138
113,2.1065333563178763
114,2.1061702861082385
115,2.1061702861082385
116,2.1065333563178763
117,2.1065333563178763
118,2.1061702861082385
119,2.1065333563178763
120,2.1061702861082385
121,2.1065333563178763
122,2.1065333563178763
123,2.1065333563178763
124,2.1065333563178763
125,2.1065333563178763
126,2.1065333563178763
127,2.1061702861082385
128,2.1061702861082385
129,2.1061702861082385
130,2.1065333563178763
131,2.1061702861082385
132,2.1061702861082385
133,2.1065333563178763
134,2.106896551724138
135,2.1065333563178763
136,2.1061702861082385
137,2.1061702861082385
138,2.1065333563178763
139,2.1065333563178763
140,2.1065333563178763
141,2.1065333563178763
142,2.1065333563178763
143,2.1065333563178763
144,2.1061702861082385
145,2.1061702861082385
146,2.1065333563178763
147,2.1065333563178763
148,2.1061702861082385
149,2.1058073410305016
150,2.1058073410305016
151,2.1061702861082385
152,2.1061702861082385
153,2.1061702861082385
154,2.1065333563178763
155,2.1065333563178763
156,2.1065333563178763
157,2.1065333563178763
158,2.1065333563178763
159,2.1065333563178763
160,2.1065333563178763
161,2.1065333563178763
162,2.1061702861082385
163,2.1061702861082385
164,2.1065333563178763
165,2.1065333563178763
166,2.1065333563178763
167,2.1065333563178763
168,2.1061702861082385
169,2.1061702861082385
170,2.1065333563178763
171,2.1061702861082385
172,2.1065333563178763
173,2.1065333563178763
174,2.1061702861082385
175,2.106896551724138
176,2.1065333563178763
177,2.1065333563178763
178,2.1065333563178763
179,2.1065333563178763
180,2.1065333563178763
181,2.1065333563178763
182,2.106896551724138
183,2.1065333563178763
184,2.1065333563178763
185,2.1065333563178763
186,2.1065333563178763
187,2.1065333563178763
188,2.1065333563178763
189,2.1065333563178763
190,2.1065333563178763
191,2.1061702861082385
192,2.1065333563178763
193,2.1065333563178763
194,2.1065333563178763
195,2.1065333563178763
196,2.1065333563178763
197,2.1065333563178763
198,2.1065333563178763
199,2.106896551724138
200,2.1063518212130576
201,2.1061702861082385
202,2.1065333563178763
203,2.1065333563178763
204,2.1065333563178763
205,2.1061702861082385
206,2.1061702861082385
207,2.1065333563178763
208,2.106896551724138
209,2.106896551724138
210,2.1065333563178763
211,2.1065333563178763
212,2.1065333563178763
213,2.1065333563178763
214,2.1065333563178763
215,2.1065333563178763
216,2.1065333563178763
217,2.1061702861082385
218,2.1061702861082385
219,2.1065333563178763
220,2.1065333563178763
221,2.1065333563178763
222,2.1065333563178763
223,2.1058073410305016
224,2.1065333563178763
225,2.1061702861082385
226,2.1061702861082385
227,2.1061702861082385
228,2.1061702861082385
229,2.1061702861082385
230,2.1061702861082385
231,2.1061702861082385
232,2.1061702861082385
233,2.1061702861082385
234,2.1061702861082385
235,2.1061702861082385
236,2.1065333563178763
237,2.1065333563178763
238,2.1061702861082385
239,2.1065333563178763
240,2.1065333563178763
241,2.1065333563178763
242,2.1061702861082385
243,2.1058073410305016
244,2.1061702861082385
245,2.1058073410305016
246,2.1058073410305016
247,2.1061702861082385
248,2.1061702861082385
249,2.1061702861082385
250,2.1061702861082385
251,2.1061702861082385
252,2.1061702861082385
253,2.1065333563178763
254,2.1065333563178763
255,2.1061702861082385
256,2.1058073410305016
257,2.1065333563178763
258,2.1061702861082385
259,2.1065333563178763
260,2.1065333563178763
261,2.1065333563178763
262,2.1065333563178763
263,2.1061702861082385
264,2.1065333563178763
265,2.1065333563178763
266,2.1065333563178763
267,2.1065333563178763
268,2.1065333563178763
269,2.1065333563178763
270,2.106896551724138
271,2.106896551724138
272,2.1065333563178763
273,2.106896551724138
