sel1,sel0,mean(delay0) [ns],mean(delay1) [ns],mean(CSC),var(CSC)
0,0,6.09230655825,5.10275193233,6.09065934066,0.280242422413
0,1,6.56291404889,5.67337653685,6.90934065934,0.247275389446
0,2,5.31387162204,4.11945416673,3.88493150685,1.12648526928
0,3,5.76492346755,4.8331596839,5.9010989011,0.0891196715373
0,4,5.91953785563,6.27238959979,14.4010989011,0.240218572636
0,5,5.42602220434,5.58616537647,29.5659340659,1.25664170994
0,6,4.88438345069,4.71115640278,27.510989011,21.39823089
0,7,5.3356401912,4.95030195651,12.8516483516,0.554914865354
0,8,5.48159805031,5.43613915513,115.832417582,580.243894155
0,9,6.19634371543,4.66729983135,3.84065934066,0.694390774061
0,10,4.62362394533,4.02522344931,0.239010989011,1.58298363724
0,11,4.86344406399,3.77839626215,4.24725274725,0.653151793262
0,12,5.35556879095,4.86249220482,10.2520547945,0.18852317508
0,13,4.87443509263,5.54436498187,6.9532967033,0.291774846033
0,14,4.32177641593,4.29889835948,156.502747253,982.986256189
0,15,4.81126232946,4.79802048085,137.247252747,590.405899046
0,16,6.59273719272,5.61674028421,6.23626373626,1.68044318319
0,17,7.0817668065,6.20641299705,6.46703296703,0.248913174737
0,18,5.80817184954,4.62585740625,4.81043956044,0.626154751842
0,19,6.29374919671,5.32446958814,6.37912087912,0.284838787586
0,20,6.77560772822,6.82677925707,345.054945055,741.458519502
0,21,6.35490768507,6.13153721989,26.2032967033,0.161967153725
0,22,5.80993348757,5.24312508228,10.0851648352,0.259230467335
0,23,6.43881227377,5.46336042486,3.41643835616,11.8539763558
0,24,5.58889523671,5.99888859325,14.9313186813,0.146381777563
0,25,6.2620545858,5.23508450147,5.63736263736,0.264098538824
0,26,4.71720403707,4.57215295077,28.706043956,25.383370064
0,27,4.96632255756,4.33187284187,2.22252747253,10.3708111943
0,28,5.46331395237,5.38200500112,54.0741758242,16.2994430021
0,29,5.00173678122,6.11474151678,3.49450549451,2.19502475546
0,30,4.44147373282,4.85217068018,11.1675824176,0.513124924526
0,31,4.92173742407,5.32117707321,12.4395604396,0.762830576017
0,32,5.94780496025,4.91560657314,5.71153846154,0.243713017751
0,33,6.42417149508,5.43107164286,6.3397260274,0.65170951398
0,34,5.12982898038,3.91620686151,4.02472527473,1.02411393552
0,35,5.64062337797,4.64008267527,5.53846153846,0.259509721048
0,36,6.2582252893,6.11331536144,89.0961538462,154.026468724
0,37,5.72292488917,5.4245778535,19.1043956044,2.13195870064
0,38,5.20716057163,4.51515872701,1.72527472527,8.40804250694
0,39,5.67959870462,4.73322346615,6.0989010989,0.171537253955
0,40,4.88622174181,5.25876948432,13.2005494505,0.182307390412
0,41,5.56427016086,4.48110067167,5.02197802198,0.0269894940225
0,42,4.0344873834,3.89413453268,26.2747252747,1.98496558387
0,43,4.31125099128,3.6467079552,6.4532967033,0.412653966912
0,44,4.82612415273,4.6890084801,35.197260274,12.7172527679
0,45,4.33541904848,5.42867558839,0.508241758242,0.678503501993
0,46,3.79062696824,4.12750750496,0.67032967033,0.473735056153
0,47,4.25590316334,4.63910744492,0.516483516484,0.288189832146
0,48,6.15872307087,5.08990736843,5.61813186813,0.296484422171
0,49,6.90504654122,5.63286425005,5.0,1.93956043956
0,50,5.35575106811,4.06760566947,4.06593406593,0.611037314334
0,51,5.86663927829,4.79664342051,5.38736263736,0.248301835527
0,52,6.0466376853,6.40594071146,24.3049450549,0.21195356841
0,53,5.55052466331,5.62243444559,202.230769231,194.479712595
0,54,4.98486503145,4.71119555838,17.6703296703,97.2924163748
0,55,5.47139681007,4.8923938753,9.8,0.521643835616
0,56,5.10200725298,5.50558992887,19.3379120879,0.745705530733
0,57,5.81657889339,4.5866706619,4.40659340659,1.49951696655
0,58,4.2801811706,3.98343874827,13.4423076923,10.0104078614
0,59,4.51787934752,3.73564711944,5.62912087912,1.21684428209
0,60,5.0432020034,4.83157608508,18.9807692308,13.9639158918
0,61,4.51130669135,5.52140553146,4.32692307692,0.934330092984
0,62,3.98543845773,4.27168793626,14.0054945055,0.0164533268929
