maxCount,delay [10ns (clks)]
60,2784117.9403669727
61,823410.6730498452
62,531346.1209439528
63,496238.87901376147
64,543271.1673789173
65,350945.8274531422
66,261949.265189421
67,213449.23659305993
68,170616.35275423728
69,183183.99824868652
70,104789.52043269231
71,113768.16958041958
72,143778.25899280576
73,150646.98048048047
74,102813.03504043126
75,122249.8875739645
76,79035.3298245614
77,107710.66548042705
78,123391.69030390738
79,89868.55
80,86242.83256880734
81,88398.30202578269
82,88268.1081081081
83,71819.17374517374
84,74643.96274217586
85,72347.63080684596
86,71717.36697247706
87,70126.77227722772
88,70259.91534391535
89,78219.98073555167
90,65381.135632183905
91,67937.03432137285
92,79710.51341681574
93,65039.470989761096
94,69165.23954372623
95,72324.17153284671
96,62903.40353982301
97,62928.16458333333
98,62911.55236486487
99,70510.31333333334
100,68768.05331179322
101,64949.711320754715
102,71173.38461538461
103,60833.23114754098
104,62020.92720970537
105,57066.35207496653
106,61855.712715855574
107,58129.168224299065
108,66644.75036710719
109,58589.347315436244
110,62228.043126684635
111,59319.38518518519
112,59506.50075872534
113,69180.15665236051
114,54935.86633663366
115,51513.91214953271
116,47271.663602941175
117,50749.308011049725
118,52784.14946619217
119,46553.94406779661
120,49164.726
121,56479.32987012987
122,58260.69456681351
123,59843.83865248227
124,61539.98756906077
125,43137.04957507082
126,45406.42907801418
127,58054.8347107438
128,44894.1872
129,51208.28444444444
130,61923.28025477707
131,51603.26804123711
132,51031.37142857143
133,49417.11736334405
134,45582.98316970547
135,49910.8301559792
136,49619.603481624756
137,50687.96389891697
138,52096.55583756345
139,43891.977505112474
140,47875.26533333334
141,48200.88519313305
142,47679.96610169492
143,46178.659284497444
144,48030.543209876545
145,43371.639068564036
146,46697.972099853156
147,44892.28928571429
148,49337.29855072464
149,46426.601265822785
150,48592.269709543565
151,54594.92565947242
152,51126.86357786358
153,44729.70064724919
154,56174.14715719064
155,41966.44779582367
156,52041.69042316258
157,45921.206586826345
158,49043.2150997151
159,50739.46111111111
160,52331.47530864197
161,47628.36637931035
162,45401.9392971246
163,46953.27331189711
164,50304.4833836858
165,49353.841683366736
166,54782.474213836475
167,52346.442340791735
168,48654.06923076923
169,43384.148514851484
170,49921.25837320574
171,50521.77762430939
172,45821.342511013216
173,46323.29329608939
174,42054.89462809917
175,46976.39148073022
176,45851.28027681661
177,45563.7512605042
178,53991.56623681125
179,41512.92744479495
180,48593.394698085416
181,42296.52958152958
182,47396.95849546044
183,50279.38598726114
184,43242.94515752626
185,44390.07740585774
186,49566.80528511822
187,50086.459972862955
188,50694.116306954435
189,51311.25063291139
190,52773.31873727088
191,50476.47199046484
192,47046.293577981654
193,52664.857965451054
194,52583.504244482174
195,55229.455555555556
196,44435.12607449857
197,46039.082018927445
198,48168.33415841584
199,50287.94577352472
200,48846.97350993378
201,52101.71859903382
202,49317.136294027565
203,45302.645161290326
204,42980.36029411765
205,53836.427397260275
206,45748.98973607038
207,46585.39123630673
208,50140.587401574805
209,48642.282051282054
210,50917.142446043166
211,53148.89185393258
212,48796.887417218546
213,53844.299559471365
214,47569.747540983604
215,50857.32407407407
216,49091.55133079848
217,48533.41066666667
218,40243.6975308642
219,50004.34022257552
220,45497.311231393775
221,49802.41017964072
222,45976.23751891074
223,49773.94524495677
224,50401.84028776978
225,52512.63896848138
226,50389.66815476191
227,49271.446043165466
228,44632.503759398496
229,50605.29304029304
230,48822.47329192547
231,51078.1
232,45551.30312837109
233,43068.76315789474
234,47779.483539094654
235,46371.66715542522
236,55172.13099870298
237,41822.46282527881
238,53005.520547945205
239,46583.76340694007
240,41414.74637681159
241,48277.92079207921
242,50394.10186757216
243,41223.758998435056
244,44815.16603773585
245,53228.40183246073
246,42096.040791100124
247,45809.64794520548
248,46825.38416988417
249,54125.32262996942
250,49350.81931034483
251,41497.38461538462
252,44927.77706185567
253,50698.23646209386
254,42738.60030395137
255,41732.38032786885
256,44620.31290322581
257,43302.65653495441
258,47046.4783197832
259,44111.2184531886
260,47217.104105571845
261,50327.01937984496
262,50106.07848837209
263,49211.11712598425
264,45447.50870147256
265,48578.083823529414
266,48752.729468599035
267,50287.92431561997
268,48709.9760087241
269,46879.79795021962
270,41790.578826237055
271,46123.53555219364
272,50815.760399334446
273,45331.33272058824
274,42084.24113475177
275,50211.72424242424
276,43884.14209827357
277,47296.63660834455
278,44171.87845303868
279,47129.17781402936
280,46600.64427480916
281,45063.42128935532
282,46818.880886426596
283,53896.19190404798
284,46774.23153692615
285,43922.991411042945
286,49459.94584382872
287,48876.969623329285
288,53623.73780487805
289,45849.72169811321
290,48775.911949685535
291,48544.27892813642
292,42978.7239010989
293,49089.498098859316
294,46002.458663646656
295,48541.43324250681
296,47258.37267759563
297,50517.536697247706
298,49671.19640564827
299,47366.94306049822
