CSC,minH (sim),H (sim),mean R (sim),std R (sim),minH (norm),H (norm),mean R (sim),std R (norm)
1.0,0.002526928029039136,0.01854975728954616,1.00175,0.04179638142231933,-0.0,0.0,1.0,0.0015789949120403532
2.0,0.0039150107997141135,0.02701390290410165,2.00149,0.05203633249951422,-0.0,0.0,2.0000000000000004,0.0044660720390511605
3.0,0.010090791839201084,0.05995789965120353,3.00057,0.08348458001331742,-0.0,0.0,3.000000000000001,0.00820469823763993
4.0,0.016015924730741704,0.08761142975666575,4.00038,0.10507071713850628,-0.0,0.0,3.9999999999999996,0.012631959296322822
5.0,0.021701847410122096,0.11193787425112187,5.00069,0.12218643091603916,-0.0,5.3136099549074705e-174,4.999999999999999,0.01765369979724265
6.0,0.028557610682609706,0.13918873120774167,6.00176,0.13998893670572687,-0.0,9.875939256479061e-101,6.0000000000000036,0.02320639104569805
7.0,0.03569748905409541,0.16569175737047925,6.99992,0.15633295749777143,-0.0,1.6645279016465403e-63,7.000000000000004,0.02924339501086561
8.0,0.04479136602289383,0.19724237468347264,8.00209,0.17483029457162164,-0.0,1.2345813764864173e-42,8.000000000000004,0.0357285763124093
9.0,0.05133935291529505,0.21868628826994638,9.00158,0.18696925843571188,-0.0,4.765609968174276e-30,9.000000000000009,0.04263286262508959
10.0,0.061209870616050585,0.24930901819367837,10.00108,0.20381077891024313,-0.0,5.114704636760578e-22,9.999999999999993,0.049932203358647384
11.0,0.0714363830087498,0.27917411516629587,11.00205,0.21978579913179103,-0.0,1.1676513416787501e-16,10.999999999999993,0.05760627036029882
12.0,0.07917317281108581,0.30066800369879904,12.00164,0.23107858057379532,3.715974744425352e-14,1.2018364794515898e-12,11.999999999999998,0.0656375859011194
13.0,0.09150986174183336,0.33321351530716325,13.00158,0.24790623953422394,2.0499046540707674e-11,5.325058774797182e-10,13.000000000000005,0.07401091254775724
14.0,0.10104098342734483,0.35705422671933396,14.0036,0.26005199480103974,2.155360495143875e-09,4.595620939359983e-08,14.00000000000002,0.08271281166839979
15.0,0.11291150305610557,0.3853255873114409,15.00328,0.27435240403539385,7.238227706228493e-08,1.2889703324181916e-06,15.000000000000014,0.09173131497117813
16.0,0.12381116573490696,0.4100232051568471,16.0024,0.28676513037675977,1.083023323835287e-06,1.6356101236613494e-05,16.00000000000002,0.1010556743705828
17.0,0.13698136265059094,0.4384028242737277,17.00198,0.3009586011397581,9.019694822034414e-06,0.00011709884100833644,16.999999999999986,0.110676167679139
18.0,0.15272462136250947,0.4704204389671284,18.00243,0.3169291641676418,4.8707997610249495e-05,0.0005502050321246424,18.000000000000036,0.12058394505438166
19.0,0.16477117320533577,0.49364046613434476,19.00281,0.3285149979833493,0.00018984379940029843,0.0018861300704989877,18.999999999999982,0.1307709058250269
20.0,0.17569649040974403,0.5138138581446048,20.00296,0.33860188776792133,0.0005766455893570759,0.0050877626234550125,19.99999999999996,0.14122959837794086
