CSC,minH (sim),H (sim),mean R (sim),std R (sim),minH (norm),H (norm),mean R (norm),std R (norm)
1.0,0.002888279324826512,0.020814071335501033,1.002,0.044676615807377355,-0.0,0.0,1.0,0.0015789949120403532
2.0,0.0072315692310758635,0.04541469233379411,2.005,0.07053367989832943,-0.0,0.0,2.0000000000000004,0.0044660720390511605
3.0,0.011587974275211846,0.06722154475830686,3.002,0.08942035562443261,-0.0,0.0,3.000000000000001,0.00820469823763993
4.0,0.0188780102056894,0.10008207543778838,4.005,0.11390785749894518,-0.0,0.0,3.9999999999999996,0.012631959296322822
5.0,0.024736678321506448,0.12424761932804056,5.003,0.13034953011039202,-0.0,5.3136099549074705e-174,4.999999999999999,0.01765369979724265
6.0,0.03800632257974492,0.17391711692221745,6.006,0.16113348503647526,-0.0,9.875939256479061e-101,6.0000000000000036,0.02320639104569805
7.0,0.03800632257974492,0.17391711692221745,7.018,0.16023732399163435,-0.0,1.6645279016465403e-63,7.000000000000004,0.02924339501086561
8.0,0.039488289880975545,0.1791163191816519,8.005,0.16424067705656842,-0.0,1.2345813764864173e-42,8.000000000000004,0.0357285763124093
9.0,0.05139915250664433,0.218877726539011,9.001,0.18708019670718756,-0.0,4.765609968174276e-30,9.000000000000009,0.04263286262508959
10.0,0.05589120089204515,0.23304589256445046,9.998,0.1949256268426499,-0.0,5.114704636760578e-22,9.999999999999993,0.049932203358647384
11.0,0.06491747668133854,0.26034062501245037,11.002,0.20975223479143193,-0.0,1.1676513416787501e-16,10.999999999999993,0.05760627036029882
12.0,0.07400058144377693,0.2863969571159562,12.0,0.22360679774997896,3.715974744425352e-14,1.2018364794515898e-12,11.999999999999998,0.0656375859011194
13.0,0.09541956507868243,0.3431229071320204,13.006,0.2529110515576573,2.0499046540707674e-11,5.325058774797182e-10,13.000000000000005,0.07401091254775724
14.0,0.09696172988708794,0.34698128810061335,13.989,0.254713564617199,2.155360495143875e-09,4.595620939359983e-08,14.00000000000002,0.08271281166839979
15.0,0.08926733809708741,0.32744491915447627,15.002,0.24494080917642122,7.238227706228493e-08,1.2889703324181916e-06,15.000000000000014,0.09173131497117813
16.0,0.1281563514906822,0.41955649623854696,16.001,0.2915458797513695,1.083023323835287e-06,1.6356101236613494e-05,16.00000000000002,0.1010556743705828
17.0,0.1297339296040173,0.4229754912346309,16.996,0.2932302849297801,9.019694822034414e-06,0.00011709884100833644,16.999999999999986,0.110676167679139
18.0,0.16326791954086414,0.49080020306391237,18.005,0.32707032882852577,4.8707997610249495e-05,0.0005502050321246424,18.000000000000036,0.12058394505438166
19.0,0.1648843847417823,0.49385372369952063,18.998,0.32862744864055404,0.00018984379940029843,0.0018861300704989877,18.999999999999982,0.1307709058250269
20.0,0.17299399036102314,0.5088990708641272,19.985,0.33581989220413966,0.0005766455893570759,0.0050877626234550125,19.99999999999996,0.14122959837794086
21.0,0.2125675354831321,0.5763278347550568,20.999,0.3701337596059025,0.0014436149014907043,0.011409124113265553,21.000000000000046,0.1519531378338767
22.0,0.1942948151614887,0.5463652179575746,22.002,0.3549591525795609,0.003104962981426433,0.02214952481921815,22.00000000000001,0.16293513764253195
23.0,0.2175914350726268,0.584238811642856,22.986,0.3739037309254884,0.005919688463587365,0.03837542277150004,22.999999999999968,0.17416965220921063
24.0,0.2293823533437969,0.60228160255664,24.013,0.3831853337485661,0.010245495549578543,0.0607185339697674,23.999999999999964,0.18565112836558384
25.0,0.25842515258120435,0.6437935214851034,25.02,0.4044749683231336,0.016396436781416408,0.08929831466289564,24.999999999999968,0.19737436400504374
26.0,0.26015189730067256,0.6461380758647463,25.991,0.4061022038846872,0.024613832815926436,0.12375733604802674,26.00000000000005,0.20933447257729518
27.0,0.23786383009888792,0.6148227571490692,26.998,0.3898666438668484,0.03505309031534278,0.16336775939092738,26.999999999999968,0.22152685241627765
28.0,0.31473259348315835,0.7138555955076477,28.006,0.4426782127008285,0.04778409517923471,0.20716445606371386,27.999999999999996,0.23394716008692454
29.0,0.33642766458247736,0.7376423801856891,29.012,0.455912272262987,0.06280074722692523,0.2540721436085667,29.000000000000007,0.2465912870979605
30.0,0.33460722895810857,0.7357090792864718,30.011,0.45483953214293066,0.0800351896519044,0.3030087564547237,29.999999999999975,0.2594553394531158
31.0,0.3808217839409308,0.7814814932386425,31.01,0.48155996511338023,0.09937329645059145,0.3529591843735386,30.999999999999936,0.27253561961079353
32.0,0.38458370273713,0.7849192945250534,32.008,0.48366930851564277,0.12066921381467056,0.4030209169737832,32.0000000000001,0.28582861049927555
33.0,0.4305089080412838,0.8237133233102516,32.986,0.5077440299993689,0.14375779640148673,0.4524266702009959,32.99999999999989,0.2993309612957588
34.0,0.4363537305159362,0.8282516400433417,33.985,0.510661335916476,0.16846451120758732,0.5005500369529599,34.000000000000036,0.31303947472663524
35.0,0.4639470997597903,0.8485481782946158,35.033,0.5233650733474675,0.1946128260957463,0.5468997758965278,34.999999999999915,0.326951095685867
36.0,0.4759363242227893,0.8568098051241517,36.015,0.529882062349727,0.22202933580851125,0.5911073433951789,35.99999999999999,0.3410629010007162
37.0,0.49005085369568935,0.8661236813986259,36.994,0.5403369319230363,0.2505261055495482,0.6328966425659628,37.00000000000014,0.35537209020015403
38.0,0.49005085369568935,0.8661236813986259,38.008,0.5365966828074882,0.28000677495642473,0.6721399505421183,37.999999999999886,0.3698759771631345
39.0,0.5521563556379144,0.9021932572871764,38.994,0.5674187166458293,0.3102583558509946,0.7086970507892354,38.9999999999999,0.38457198254175573
40.0,0.5885737542735351,0.9199534913630799,40.029,0.5780648752519045,0.3411598345728552,0.7425460566634705,40.000000000000014,0.3994576268691798
41.0,0.5734668618833266,0.9128699190400287,41.0,0.5830951894845301,0.3723004898418877,0.7735401901681371,41.00000000000004,0.4145305242748188
42.0,0.6192705514964515,0.9331717984240897,42.005,0.5941169918458821,0.4039222469963772,0.8019541093599852,42.00000000000019,0.42978837673963494
43.0,0.6803820657998387,0.9551678918612525,42.998,0.616438155859937,0.4357208398341225,0.8277643569280152,43.00000000000016,0.4452289688332838
44.0,0.6943212567577125,0.9594423211075276,43.994,0.6371530428397874,0.46755089345290446,0.8510659865192792,43.999999999999915,0.46085016288238967
45.0,0.7060410209713056,0.9628362283917513,45.047,0.6362318759697599,0.4992674084483926,0.8719721791394184,45.00000000000004,0.47664989452555234
46.0,0.6326289343514706,0.9384543826025636,46.005,0.6188497394359957,0.5307260994465733,0.890610219873666,45.99999999999982,0.4926261686161396
47.0,0.7345631039509016,0.9703626255019486,47.023,0.668184854662241,0.5617842246379825,0.9071180968391173,46.99999999999976,0.5087770554387427
48.0,0.7249929525001303,0.9679505356936395,47.975,0.6651127723927726,0.5923018340942279,0.921641505950823,48.00000000000006,0.5251006872089563
49.0,0.8059129478836975,0.9849900098451574,49.03,0.6834471449936709,0.622143341162244,0.934331123011203,48.99999999999988,0.5415952548298391
50.0,0.8262329322632933,0.9881489563064275,49.962,0.7145320146781386,0.6511793097110479,0.9453400708173308,50.00000000000007,0.5582590048813961
51.0,0.7226103011891362,0.9673324338116667,51.01,0.7027801932325639,0.6792883470499875,0.9548215585664699,51.00000000000015,0.5750902368218468
52.0,0.7612131404128836,0.976500468757824,51.994,0.6942362710201765,0.7063589951876604,0.9629267032272,51.99999999999995,0.5920873003820566
53.0,0.8134994423555051,0.9862187199222406,52.995,0.7120217693301237,0.7322915199555003,0.9698025597592494,53.000000000000284,0.6092485931362406
54.0,0.7784322114615904,0.9800302358597728,54.025,0.718592374020209,0.7569995074689112,0.9755903923661566,54.0000000000001,0.6265725582338486
55.0,0.8809758968577254,0.9946583178227809,55.037,0.7345958072300713,0.7804111901063847,0.9804147020942141,55.000000000000234,0.644057682279302
56.0,0.8468432119385796,0.9909324035683699,56.04,0.7838367176906169,0.8024704395164738,0.9844127630349875,55.999999999999815,0.6617024933471937
57.0,0.9023892033735776,0.9964625048848765,57.021,0.7953357781465639,0.8231373818591345,0.9877229402520867,56.99999999999971,0.6795055591222501
58.0,0.8442507673220552,0.9906049558738161,57.991,0.8502464348646219,0.8423886099796956,0.9904106113589958,57.99999999999982,0.6974654851539432
59.0,0.9885043611621706,0.9999538332662391,58.994,0.8578834419663315,0.860216987578186,0.9925206100903329,59.00000000000037,0.7155809132169774
60.0,0.9351171484151457,0.9984730898903076,60.015,0.865317860673175,0.8766310604736719,0.9942433952354781,60.000000000000156,0.7338505197694268
61.0,0.8916428219095814,0.9956068607005617,60.967,0.8717287422128515,0.8916541084658638,0.9956083452107667,60.99999999999994,0.7522730145013058
62.0,0.8365012677171205,0.9895875212220557,61.988,0.8670963037633133,0.9053228868375464,0.9966799076789903,62.00000000000009,0.770847138966682
63.0,0.9378782880922025,0.9986030202378096,63.04,0.9013323471394998,0.917686118252971,0.9975134363381464,63.00000000000044,0.7895716652933789
64.0,0.994240730711315,0.9999884584088952,64.012,0.9580480154981795,0.9288028030974459,0.998155919302618,64.00000000000043,0.8084453949646689
65.0,0.982790709967777,0.9998961234639354,64.954,0.9653413903899491,0.9387081485297871,0.9986409040633057,64.99999999999984,0.8274671576678831
66.0,0.9770995978899212,0.9998153271549208,65.99,0.935895293288731,0.9475730787903806,0.9990187470704761,66.00000000000004,0.846635810205281
67.0,0.8520421186128986,0.9915697693063809,67.026,0.947271872273214,0.9553797104067866,0.9992986523449123,67.00000000000047,0.8659502354628231
68.0,0.9517638143471525,0.9991659615315874,67.973,0.941419672622152,0.9622423148993056,1.0004435556554196,67.99999999999982,0.8854093414331095
69.0,0.9714308478032292,0.9997114417528099,68.944,0.9832924285277499,0.9682443475345582,0.9996652484889428,68.99999999999955,0.9050120602888543
70.0,0.9913696948565599,0.9999740313334506,70.033,1.0629727183705142,0.9734692567665155,0.9997834706066531,70.0000000000001,0.9247573475033986
71.0,0.9601597354682089,0.9994343896240241,71.026,1.028262612370984,0.9779992042754576,0.9998740541806808,71.00000000000041,0.9446441810154251
72.0,0.9629692690550331,0.9995123141215676,72.013,1.0463417223832756,0.9819139788694013,0.9999457349084147,72.00000000000028,0.9646715604350563
73.0,0.9686048037244658,0.9996508396313204,73.053,1.0345003624938949,0.9852901076539559,1.0000053855707143,73.00000000000013,0.9848385062886402
74.0,0.9714308478032292,0.9997114417528099,73.984,1.072261162217489,0.9882001599881002,1.0000584225968332,73.99999999999997,1.005144059299859
75.0,0.98564470702293,0.9999278640456617,74.977,1.1603753703004904,0.989806839036479,0.999966211519303,75.00000000000031,1.0255872797049974
76.0,0.9213901653036336,0.9977366703420345,75.98,1.120535586226515,0.9928896068218866,1.0001609854516458,75.99999999999945,1.0461672466002054
77.0,0.9971174914668787,0.9999971146079947,77.045,1.1309177688939192,0.9933375872509084,0.9999899206484386,76.99999999999957,1.0668830573191053
78.0,0.9213901653036336,0.9977366703420345,77.938,1.1748004085801127,0.9964682076375535,1.0002788075480318,78.00000000000014,1.0877338268385273
79.0,0.9629692690550331,0.9995123141215676,78.969,1.186608191443157,0.9957454851094232,1.0000045229472945,78.99999999999997,1.1087186872111754
80.0,0.9132162338579335,0.9972253609153701,79.983,1.2011290521838192,0.9966305231287802,1.0000110100826372,80.00000000000038,1.1298367870235382
81.0,0.9686048037244658,0.9996508396313204,81.069,1.2822788308320465,0.9973479356081282,1.0000179166568581,81.0000000000004,1.151087290877426
82.0,0.9489759969755331,0.9990649315776108,81.992,1.227165840463301,0.9979260605754534,1.0000258229179486,81.99999999999972,1.1724693788941485
83.0,0.9885043611621706,0.9999538332662391,82.958,1.2673736623427205,0.9983893501789651,1.0000000033220442,83.0000000000003,1.1939822462398924
84.0,1.0,1.0,83.992,1.26962041571487,0.9987587520974585,1.0000467012560232,83.99999999999999,1.2156251026710094
85.0,0.9913696948565599,0.9999740313334506,84.999,1.3187111131707354,0.9990520936918806,1.0000606638130902,84.9999999999996,1.2373971720985926
86.0,0.982790709967777,0.9998961234639354,86.068,1.3436428096782271,0.9992844584139045,1.0000025995605937,86.00000000000074,1.259297692170845
87.0,0.9686048037244658,0.9996508396313204,87.017,1.3246550494373996,0.999468546266186,1.0000981611289386,87.00000000000001,1.281325913872414
88.0,0.982790709967777,0.9998961234639354,88.034,1.33148188121356,0.9996150121997188,1.0001227642917727,87.9999999999994,1.3034811011402412
89.0,0.9686048037244658,0.9996508396313204,89.047,1.3589668870138083,0.9997327781983659,1.0001520240016126,88.9999999999992,1.3257625304943663
90.0,0.9856447070229303,0.9999278640456617,90.025,1.4374891303936872,0.9998293164194835,1.0000099707791041,90.00000000000054,1.348169490683493
91.0,0.9378782880922025,0.9986030202378096,91.08,1.3926952286842946,0.9999109021266912,1.0002269211607853,90.99999999999977,1.3707012823442022
92.0,0.98564470702293,0.9999278640456617,92.015,1.4250526306070244,0.999982836271976,1.0002738156772986,91.99999999999916,1.3933572176736688
93.0,0.9489759969755331,0.9990649315776108,93.068,1.5222930072755376,1.000049638473108,1.0000227599217126,93.00000000000045,1.4161366201144923
94.0,0.9629692690550331,0.9995123141215676,94.037,1.5071930865021907,1.000075773084856,1.0000292978204426,94.00000000000001,1.4390388240514473
95.0,1.0,1.0,95.036,1.5616350405904704,1.0000603997010042,1.000037332670894,95.00000000000072,1.4620631745199357
96.0,0.98564470702293,0.9999278640456617,96.007,1.5069674847188974,1.000051181620067,1.0000471156548323,95.9999999999996,1.4852090269246647
97.0,0.9714308478032292,0.9997114417528099,97.008,1.5329500970351253,1.0003370843434216,1.0006290166766592,96.99999999999902,1.5084757467691408
98.0,0.8943219221054628,0.9958294764724047,98.098,1.5660127713400043,0.9999841935583381,1.0000048770627274,97.99999999999922,1.5318627093945296
99.0,0.9186603725480612,0.9975720245861465,99.043,1.5984839692658792,0.9999899785919922,1.0000064783792428,98.99999999999969,1.5553692997280624
100.0,0.9971174914668787,0.9999971146079947,99.973,1.637153322080739,1.0000609846301953,1.0001095820482901,100.00000000000071,1.5789949120403701
101.0,0.9629692690550331,0.9995123141215676,100.957,1.6355888847751443,0.9999982509006883,1.0000110697186848,101.00000000000003,1.6027389497112159
102.0,0.9489759969755331,0.9990649315776108,102.03,1.705608395851756,1.0000016194188155,1.0000142543307429,102.00000000000088,1.6266008250036357
103.0,0.9629692690550331,0.9995123141215676,103.049,1.6854076658185697,1.0001135944650328,1.0001905206854054,102.999999999999,1.650579958845353
104.0,0.9885043611621706,0.9999538332662391,104.002,1.6649312298110093,1.0001413570557405,1.0002260509964627,103.99999999999929,1.6746757806183394
105.0,0.8996950942043146,0.9962572968375276,105.062,1.8055902082144775,1.0000019796886088,1.0000022393908086,104.99999999999974,1.6988877279547052
106.0,0.9971174914668787,0.9999971146079947,106.017,1.7884940592576761,1.0002161174431698,1.0003124760169517,105.99999999999994,1.723215246539983
107.0,0.8889686876112561,0.9953784388202258,106.974,1.816404140052538,1.000264781982859,1.0003642500228804,106.9999999999995,1.747657789922691
108.0,0.982790709967777,0.9998961234639354,108.008,1.827001915707808,1.0003222279430202,1.0004223263100847,107.99999999999955,1.7722148193302132
109.0,0.9971174914668787,0.9999971146079947,109.041,1.8534613564895277,1.0003894967699383,1.0004871528090626,109.00000000000011,1.796885803490561
110.0,0.9406447223835789,0.998727168607354,110.035,1.8247671084278123,1.0000510345588898,1.0000795372144595,109.99999999999979,1.8216702184599245
