sel1,sel0,mean(delay0) [ns],mean(delay1) [ns],mean(CSC),var(CSC)
0,0,1.1086907193101883,1.263642476594424,6.849180327868853,0.1280730986294007
0,1,1.0968437121178107,1.5315654190959815,4.470862470862471,1.1629039181486733
0,2,1.3199395117736012,0.5547107287954788,0.6783216783216783,0.21820137904053985
0,3,1.058354633279903,1.0717732736685093,77.2004662004662,11.750023092680433
1,0,1.1086917074941027,1.2635061779455101,6.822843822843823,0.24367396395368418
1,1,1.0968437121178107,1.5317574769578028,4.454545454545454,1.2409408773045136
1,2,1.3201534057149031,0.5547229791099001,0.686046511627907,0.21538669551108708
1,3,1.058217101273499,1.071741799684266,76.2983682983683,8.367852815405264
2,0,1.1087420042643923,1.2633102450118887,6.8321678321678325,0.23756662917502086
2,1,1.0967944688874922,1.5316614420062695,4.508158508158508,1.0984182872294759
2,2,1.3200410655427677,0.554735910298023,0.6806526806526807,0.23135062295901462
2,3,1.058008658008658,1.0719768410895214,73.7062937062937,7.522128221428919
3,0,1.1087913584169202,1.2635117662270496,6.7972027972027975,0.25957259523693094
3,1,1.0967510321306766,1.5318788742993519,4.637209302325582,0.877685235262304
3,2,1.3202247191011236,0.5547733672449814,0.675990675990676,0.23301329595035894
3,3,1.0580796050067132,1.071632232311269,76.2051282051282,8.591955053493514
