sel,mean(delay) [ns]
0,2.6381692573402415
1,2.805325987144169
2,3.0330106726234796
3,2.595581988105353
4,2.6904447380008807
5,2.8538066324147593
6,3.068039166457444
7,2.6565217391304348
8,3.0315058298189035
9,3.022508038585209
10,3.0780856423173804
11,3.2196022163264573
12,3.0511860174781527
13,3.2543275632490016
14,3.243099787685775
15,3.4229691876750703
16,2.713746391294692
17,2.8807166430928803
18,3.101522842639594
19,2.67103825136612
20,2.588434653675069
21,2.7473021582733814
22,2.9588377723970942
23,2.5559506379418533
24,3.118142383261036
25,3.099163073801674
26,3.1454311454311457
27,3.289367429340511
28,3.1149630384909512
29,3.315246880086815
30,3.3089629027890606
31,3.4844596521243227
32,2.6421621621621623
33,2.8104875804967797
34,3.0315058298189035
35,2.601106853980417
36,3.1117901706137
37,3.2708779443254823
38,3.4804898889205353
39,3.0889787664307384
40,3.0315058298189035
41,3.099163073801674
42,3.1189382337927514
43,3.2840634238108035
44,2.9220468675274986
45,3.1205311542390195
46,3.1133757961783437
47,3.2884822389666306
48,2.144235830847517
49,2.3122043519394513
50,2.5379023883696785
51,2.1061702861082385
52,2.6313522825150732
53,2.793781435756744
54,3.0024570024570023
55,2.5895316804407713
56,2.5426550145651268
57,2.6033233915636984
58,2.6150224695056705
59,2.7823315118397085
60,2.4279753626067953
61,2.6228804464477355
62,2.615582191780822
63,2.791228871630882
