sel,mean(delay) [ns]
0,2.0881749829118252
1,2.196656480316376
2,2.7766416723471936
3,2.383460113126585
4,2.2612879348630646
5,2.369135323768903
6,2.9495534636736664
7,2.556485355648536
8,2.623443537999141
9,2.731947238989493
10,3.3116531165311653
11,2.919254658385093
12,2.822170900692841
13,2.9304556354916067
14,3.510485492674519
15,3.11734693877551
16,2.1907493725349587
17,2.2995859992472716
18,2.8800377091680414
19,2.486266531027467
20,2.364093635132521
21,2.4726831242411977
22,3.052710467149638
23,2.6594124047878127
24,2.725853223287977
25,2.8346091394108095
26,3.4143615535065663
27,3.021760633036598
28,2.92484442316898
29,3.0330106726234796
30,3.61324659964518
31,3.2200263504611333
32,2.7622061482820977
33,2.87056612638008
34,3.4510025416548995
35,3.0572929697272953
36,2.9346781940441886
37,3.0435865504358657
38,3.623962040332147
39,3.2302405498281788
40,3.297355639503508
41,3.4048481471161884
42,3.9856490541422045
43,3.593060864451632
44,3.4954233409610986
45,3.6047197640117994
46,4.184931506849315
47,3.791498603785293
48,2.6256983240223466
49,2.734392481539494
50,3.314347708163819
51,2.9206500956022947
52,2.7982596748339823
53,2.906755470980019
54,3.4864479315263908
55,3.0936708860759494
56,3.1608898085876875
57,3.2691278758694486
58,3.8488188976377953
59,3.4558823529411766
60,3.358988455195162
61,3.467650397275823
62,4.047697913216297
63,3.6543062200956937
