sel,mean(delay) [ns]
0,2.402201690583841
1,3.0788611740992695
2,2.688077430708315
3,2.940327237728585
4,2.5742574257425743
5,3.2508645916467143
6,2.861156637789745
7,3.1133757961783437
8,2.475187360745392
9,3.152734778121775
10,2.7622061482820977
11,3.0143068574247653
12,3.1897676846776295
13,3.8658652325213536
14,3.476529160739687
15,3.727882855399634
16,2.2356384924990853
17,2.9122974261201144
18,2.5221878224974197
19,2.77349069450749
20,2.4078817733990148
21,3.0850795253723806
22,2.6945975744211688
23,2.946708463949843
24,2.309145880574452
25,2.986314760508309
26,2.595030792100234
27,2.847157502329916
28,3.021760633036598
29,3.698547215496368
30,3.3089629027890606
31,3.5606060606060606
32,2.789317507418398
33,3.4656834940442427
34,3.0749874182184196
35,3.3269806697522464
36,2.9617062530295684
37,3.6379874962786545
38,3.247408982195057
39,3.4994272623138603
40,2.862497071913797
41,3.538951636258326
42,3.148673022416903
43,3.401057612023379
44,3.576236464735148
45,4.253393665158371
46,3.862199747155499
47,4.114478114478114
48,2.612785973914903
49,3.289367429340511
50,2.8991696322657177
51,3.1502964681618972
52,2.7848678213309026
53,3.461756373937677
54,3.071123397838653
55,3.322457857531267
56,2.685714285714286
57,3.361760660247593
58,2.9710673474349623
59,3.223423898707465
60,3.399165507649513
61,4.076050700466978
62,3.6851628468033777
63,3.938124395746052
