sel,mean(delay) [ns]
0,2.4420463629096725
1,2.559698366149979
2,2.7976190476190474
3,2.7399103139013454
4,2.5071809601969637
5,2.632485997414907
6,2.8326379230412613
7,3.0046717482173593
8,2.9509780246317314
9,3.2081911262798632
10,3.122923588039867
11,2.8504781898763705
12,2.469185694079612
13,2.738682205289108
14,2.611111111111111
15,2.3714341160489036
16,2.491335372069317
17,2.606655290102389
18,2.844506517690875
19,2.8176158635001154
20,2.3316161037969856
21,2.465698143664245
22,2.666957660410301
23,2.844506517690875
24,2.999509081983309
25,3.2569296375266528
26,3.173201765775123
27,2.900545929266556
28,2.5061525840853163
29,2.7741203178206586
30,2.6381692573402415
31,2.404565131837859
32,2.7288968289414917
33,2.847821020741086
34,3.059589384076114
35,3.011335633316905
36,2.9638612660683967
37,3.09680689305626
38,3.300027005130975
39,3.4884384813017415
40,3.020266930301532
41,3.2770179672834536
42,3.1897676846776295
43,2.9255446492698107
44,2.7288968289414917
45,2.996566944580677
46,2.8631677600749765
47,2.6285222628522265
48,1.9332384116437273
49,2.0634920634920633
50,2.2935435435435436
51,2.226270723264711
52,2.4676898222940227
53,2.5928283471249736
54,2.7848678213309026
55,2.9783085547160617
56,2.4984665712533225
57,2.7597109304426377
58,2.6605704332680165
59,2.403619197482297
60,2.4607329842931938
61,2.7288968289414917
62,2.5862433862433862
63,2.357253086419753
