sel,mean(delay) [ns]
0,2.919952210274791
1,3.1333333333333337
2,3.3125508267823256
3,3.140580827550758
4,2.8464942930351733
5,3.0511860174781527
6,3.2048255966430634
7,3.053473263368316
8,2.591728525980912
9,3.0043024424469293
10,3.0511860174781527
11,2.8491489857775703
12,3.1070429697431985
13,3.5185718399078607
14,3.58147713950762
15,3.3451957295373664
16,2.7628306579244857
17,2.9855851453701443
18,3.1617076326002587
19,2.986314760508309
20,2.9053732762719924
21,3.110206159328073
22,3.2673796791443848
23,3.1141692150866462
24,2.6501843417913684
25,3.0641925777331998
26,3.1109979633401226
27,2.908138981437411
28,3.1576227390180875
29,3.56268221574344
30,3.6282660332541568
31,3.3972755073672505
32,3.3673188206117386
33,3.5877862595419847
34,3.806853582554517
35,3.61324659964518
36,3.174025974025974
37,3.368246968026461
38,3.530771453337186
39,3.3822308331026845
40,3.3636113404899532
41,3.76
42,3.805668016194332
43,3.6089781453041936
44,3.1715546327536988
45,3.5668417980151776
46,3.630421865715983
47,3.400111296605454
48,2.8807166430928803
49,3.1109979633401226
50,3.313449023861171
51,3.11734693877551
52,2.6657940663176265
53,2.8651817116060965
54,3.0247524752475248
55,2.873941674506115
56,2.861156637789745
57,3.249135868120181
58,3.2946885953087084
59,3.0983772819472617
60,2.6496097137901127
61,3.046621790077287
62,3.1117901706137
63,2.8800377091680414
