sel,mean(delay) [ns]
0,2.7976190476190474
1,3.52873231302339
2,3.0247524752475248
3,2.9797610338941722
4,3.401057612023379
5,2.9617062530295684
6,2.956690055649649
7,2.802109607888099
8,2.735004476275739
9,2.8571428571428568
10,2.7722323049001814
11,2.946708463949843
12,3.1133757961783437
13,3.3599120153973057
14,3.263888888888889
15,3.4627373193539244
16,2.8326379230412613
17,3.565800992121389
18,3.0718954248366015
19,3.0128205128205128
20,3.4529528115286805
21,3.009111056390052
22,3.0098522167487687
23,2.83855981416957
24,2.7709750566893425
25,2.8950485666903574
26,2.8104875804967797
27,2.9833984375
28,3.1462409886714724
29,3.400111296605454
30,3.295577130528587
31,3.4944237918215615
32,3.2551944592434734
33,3.9869494290375203
34,3.493424814179531
35,3.422010641276953
36,3.399165507649513
37,2.957405614714424
38,2.9833984375
39,2.8001833180568285
40,3.4597961494903737
41,3.5804277761500147
42,3.4984254222731175
43,3.6663666366636667
44,3.1576227390180875
45,3.3963312951639804
46,3.2964661451308337
47,3.490431305341331
48,2.7722323049001814
49,3.525678015002885
50,3.0285006195786868
51,2.960988611582263
52,2.9304556354916067
53,2.488798370672098
54,2.505638712323149
55,2.3240775960441233
56,3.0039331366764994
57,3.1189382337927514
58,3.041314086610254
59,3.2107199159222284
60,2.6594124047878127
61,2.9109099571224393
62,2.8111341154819414
63,3.0061500615006147
