sel,mean(delay) [ns]
0,2.8111341154819414
1,2.806614607257694
2,3.3297002724795637
3,3.056528264132066
4,2.7448337825696316
5,2.745450460570658
6,3.2508645916467143
7,2.9899681918277468
8,2.923444976076555
9,2.923444976076555
10,2.757220216606498
11,2.8651817116060965
12,3.4510025416548995
13,3.447108603667137
14,3.303595566369289
15,3.3766233766233764
16,2.8591483387927004
17,2.8551401869158877
18,3.3719646799116996
19,3.118142383261036
20,2.7956989247311825
21,2.7956989247311825
22,3.3009184224743384
23,3.040557352575268
24,2.979034617259873
25,2.979034617259873
26,2.813075506445672
27,2.9213483146067416
28,3.501432664756447
29,3.4984254222731175
30,3.3543782596760914
31,3.427769985974755
32,3.2752613240418116
33,3.27000267594327
34,3.7891472868217053
35,3.5606060606060606
36,2.7634554500226143
37,2.7634554500226143
38,3.25346112886049
39,3.000245519273263
40,3.670772003604686
41,3.671875
42,3.5064562410329985
43,3.6121785397576116
44,3.4854535082715343
45,3.4824736392134508
46,3.3287932443475894
47,3.4134078212290504
48,2.8001833180568285
49,2.7950594693504116
50,3.3125508267823256
51,3.082744702320888
52,2.280701754385965
53,2.279850746268657
54,2.7804323094425483
55,2.524271844660194
56,3.20230607966457
57,3.20230607966457
58,3.036779324055666
59,3.1462409886714724
60,2.9921645445641527
61,2.9892367906066535
62,2.8332946904706704
63,2.9206500956022947
