sel,mean(delay) [ns]
0,2.803395274145446
1,2.9220468675274986
2,3.4696195343554797
3,3.333333333333333
4,2.820216939764597
5,2.939619918210248
6,3.4864479315263908
7,3.3506992048258843
8,2.544773011245314
9,2.664050577719643
10,3.2107199159222284
11,3.0749874182184196
12,3.236228813559322
13,3.355299286106535
14,3.9029064196742254
15,3.7657935285053927
16,2.2413793103448274
17,2.3599845500193126
18,2.9074470616226504
19,2.7716035382172826
20,2.2579453067257944
21,2.37696946119432
22,2.9241445321847332
23,2.7886809675947055
24,1.9821573398215733
25,2.1014617368873605
26,2.6490353349230435
27,2.5128521488792925
28,2.6733756289652155
29,2.7931428571428576
30,3.3397103033615743
31,3.203985317252229
32,2.315270935960591
33,2.43474795776051
34,2.9819424109321617
35,2.845831392640894
36,2.3325062034739457
37,2.4513540621865597
38,2.999509081983309
39,2.8631677600749765
40,2.0565466173005724
41,2.175538543706605
42,2.7234232226431914
43,2.587338556002541
44,2.747919946031032
45,2.867198498357579
46,3.4143615535065663
47,3.278776495841159
48,2.9973019376992887
49,3.1165519000255038
50,3.6641679160419787
51,3.527713625866051
52,3.0150505798174194
53,3.1333333333333337
54,3.6807228915662646
55,3.5451116913257907
56,2.738682205289108
57,2.8578110383536015
58,3.4048481471161884
59,3.2682535437282696
60,3.43065693430657
61,3.5492303223932615
62,4.096547100234663
63,3.959818535320804
