sel,mean(delay) [ns]
0,2.46122860020141
1,2.58078141499472
2,2.8916232844297207
3,2.976857490864799
4,2.8300138953219083
5,2.948841698841699
6,3.2604055496264674
7,3.3461117196056955
8,2.849813432835821
9,2.9689018464528667
10,3.2796564680622655
11,3.3654640594877443
12,2.46122860020141
13,2.5802364864864864
14,2.890939200378519
15,2.976857490864799
16,2.3122043519394513
17,2.430873284264969
18,2.7423698384201076
19,2.8280490627169637
20,2.6810004387889426
21,2.8001833180568285
22,3.1117901706137
23,3.1972789115646263
24,2.7005524861878456
25,2.819566220581449
26,3.130122950819672
27,3.216635956830745
28,2.31089258698941
29,2.430389817024662
30,2.741139524450426
31,2.827394724664507
32,2.4017295597484276
33,2.521147101299773
34,2.8326379230412613
35,2.917860553963706
36,2.7716035382172826
37,2.890939200378519
38,3.201467120775478
39,3.28759752488566
40,2.791228871630882
41,2.9102167182662537
42,3.220875065893516
43,3.307171853856563
44,2.4017295597484276
45,2.5206270627062706
46,2.8313253012048194
47,2.9171640009548816
48,3.0952380952380953
49,3.2140978432404
50,3.524661090279781
51,3.611111111111111
52,3.4647008789339386
53,3.5835777126099706
54,3.894200127469726
55,3.980456026058632
56,3.4844596521243227
57,3.603656738425243
58,3.9141575912876365
59,3.9986910994764395
60,3.0944542922258798
61,3.213252695240599
62,3.524661090279781
63,3.6100443131462336
